date,location,item,opening_stock,received,issued,closing_stock,lead_time_days,criticality,supplier
2025-01-10,Hospital A,Rice,144,14,10,148,6,Medium,Supplier X
2025-01-10,Hospital A,Flour,64,49,32,81,6,Medium,Supplier X
2025-01-10,Hospital B,Paracetamol,107,39,81,65,4,High,Supplier Y
2025-01-10,Hospital B,Amoxicillin,128,45,69,104,2,High,Supplier Y
2025-01-10,Hospital B,Rice,167,45,125,87,5,Medium,Supplier Y
2025-01-10,Hospital B,Flour,55,22,42,35,3,Medium,Supplier X
2025-01-10,Warehouse C,Paracetamol,170,18,162,26,5,High,Supplier X
2025-01-10,Warehouse C,Amoxicillin,78,48,25,101,2,High,Supplier Y
2025-01-10,Warehouse C,Rice,142,20,64,98,3,Medium,Supplier X
2025-01-10,Warehouse C,Flour,180,39,159,60,4,Medium,Supplier X
2025-01-11,Hospital A,Paracetamol,108,23,58,73,4,High,Supplier Y
2025-01-11,Hospital A,Amoxicillin,153,29,132,50,2,High,Supplier Y
2025-01-11,Hospital A,Rice,132,16,125,23,6,Medium,Supplier Y
2025-01-11,Hospital A,Flour,123,15,114,24,2,Medium,Supplier X
2025-01-11,Hospital B,Paracetamol,81,27,57,51,5,High,Supplier X
2025-01-11,Hospital B,Amoxicillin,151,28,149,30,4,High,Supplier X
2025-01-11,Hospital B,Rice,74,26,27,73,3,Medium,Supplier X
2025-01-11,Hospital B,Flour,59,23,80,2,2,Medium,Supplier X
2025-01-11,Warehouse C,Paracetamol,147,24,57,114,2,High,Supplier Y
2025-01-11,Warehouse C,Amoxicillin,183,42,103,122,4,High,Supplier X
2025-01-11,Warehouse C,Rice,120,34,25,129,6,Medium,Supplier Y
2025-01-11,Warehouse C,Flour,126,14,108,32,2,Medium,Supplier X
2025-01-12,Hospital A,Paracetamol,136,46,155,27,3,High,Supplier Y
2025-01-12,Hospital A,Amoxicillin,117,28,117,28,6,High,Supplier Y
2025-01-12,Hospital A,Rice,174,47,69,152,2,Medium,Supplier X
2025-01-12,Hospital A,Flour,54,29,79,4,4,Medium,Supplier Y
2025-01-12,Hospital B,Paracetamol,96,33,28,101,2,High,Supplier X
2025-01-12,Hospital B,Amoxicillin,61,29,3,87,3,High,Supplier Y
2025-01-12,Hospital B,Rice,157,32,5,184,3,Medium,Supplier Y
2025-01-12,Hospital B,Flour,64,28,26,66,5,Medium,Supplier Y
2025-01-12,Warehouse C,Paracetamol,93,21,95,19,2,High,Supplier Y
2025-01-12,Warehouse C,Amoxicillin,121,11,14,118,2,High,Supplier X
2025-01-12,Warehouse C,Rice,121,12,32,101,2,Medium,Supplier X
2025-01-12,Warehouse C,Flour,85,35,2,118,2,Medium,Supplier Y
2025-01-13,Hospital A,Paracetamol,136,23,120,39,6,High,Supplier X
2025-01-13,Hospital A,Amoxicillin,178,10,91,97,6,High,Supplier Y
2025-01-13,Hospital A,Rice,155,24,4,175,5,Medium,Supplier Y
2025-01-13,Hospital A,Flour,177,47,72,152,4,Medium,Supplier X
2025-01-13,Hospital B,Paracetamol,146,41,169,18,3,High,Supplier Y
2025-01-13,Hospital B,Amoxicillin,114,42,152,4,2,High,Supplier Y
2025-01-13,Hospital B,Rice,163,41,10,194,4,Medium,Supplier X
2025-01-13,Hospital B,Flour,81,14,80,15,4,Medium,Supplier X
2025-01-13,Warehouse C,Paracetamol,76,49,62,63,5,High,Supplier Y
2025-01-13,Warehouse C,Amoxicillin,96,36,72,60,6,High,Supplier X
2025-01-13,Warehouse C,Rice,125,14,80,59,3,Medium,Supplier X
2025-01-13,Warehouse C,Flour,136,36,15,157,3,Medium,Supplier X
2025-01-14,Hospital A,Paracetamol,156,19,155,20,4,High,Supplier X
2025-01-14,Hospital A,Amoxicillin,144,26,153,17,2,High,Supplier X
2025-01-14,Hospital A,Rice,123,42,109,56,5,Medium,Supplier Y
2025-01-14,Hospital A,Flour,147,32,41,138,5,Medium,Supplier Y
2025-01-14,Hospital B,Paracetamol,174,25,13,186,2,High,Supplier X
2025-01-14,Hospital B,Amoxicillin,86,10,22,74,4,High,Supplier Y
2025-01-14,Hospital B,Rice,54,45,39,60,3,Medium,Supplier X
2025-01-14,Hospital B,Flour,163,13,86,90,3,Medium,Supplier Y
2025-01-14,Warehouse C,Paracetamol,66,43,74,35,2,High,Supplier Y
2025-01-14,Warehouse C,Amoxicillin,194,7,13,188,3,High,Supplier Y
2025-01-14,Warehouse C,Rice,106,11,112,5,4,Medium,Supplier X
2025-01-14,Warehouse C,Flour,127,1,11,117,6,Medium,Supplier Y
2025-01-15,Hospital A,Paracetamol,136,7,117,26,6,High,Supplier X
2025-01-15,Hospital A,Amoxicillin,84,35,60,59,2,High,Supplier Y
2025-01-15,Hospital A,Rice,77,35,93,19,4,Medium,Supplier X
2025-01-15,Hospital A,Flour,75,1,47,29,5,Medium,Supplier X
2025-01-15,Hospital B,Paracetamol,190,19,136,73,6,High,Supplier Y
2025-01-15,Hospital B,Amoxicillin,116,49,39,126,6,High,Supplier Y
2025-01-15,Hospital B,Rice,188,3,53,138,4,Medium,Supplier X
2025-01-15,Hospital B,Flour,134,47,115,66,4,Medium,Supplier Y
2025-01-15,Warehouse C,Paracetamol,147,34,8,173,2,High,Supplier Y
2025-01-15,Warehouse C,Amoxicillin,78,19,76,21,4,High,Supplier Y
2025-01-15,Warehouse C,Rice,112,46,104,54,3,Medium,Supplier Y
2025-01-15,Warehouse C,Flour,168,46,97,117,5,Medium,Supplier Y
2025-01-16,Hospital A,Paracetamol,57,32,81,8,3,High,Supplier Y
2025-01-16,Hospital A,Amoxicillin,67,42,24,85,5,High,Supplier Y
2025-01-16,Hospital A,Rice,146,38,65,119,2,Medium,Supplier Y
2025-01-16,Hospital A,Flour,190,38,119,109,5,Medium,Supplier X
2025-01-16,Hospital B,Paracetamol,100,34,107,27,6,High,Supplier X
2025-01-16,Hospital B,Amoxicillin,102,47,24,125,4,High,Supplier X
2025-01-16,Hospital B,Rice,135,19,119,35,5,Medium,Supplier X
2025-01-16,Hospital B,Flour,94,2,49,47,5,Medium,Supplier X
2025-01-16,Warehouse C,Paracetamol,81,49,21,109,2,High,Supplier X
2025-01-16,Warehouse C,Amoxicillin,124,23,139,8,6,High,Supplier Y
2025-01-16,Warehouse C,Rice,62,10,47,25,6,Medium,Supplier Y
2025-01-16,Warehouse C,Flour,150,45,162,33,4,Medium,Supplier X
2025-01-17,Hospital A,Paracetamol,152,35,145,42,4,High,Supplier X
2025-01-17,Hospital A,Amoxicillin,167,46,190,23,3,High,Supplier Y
2025-01-17,Hospital A,Rice,102,26,114,14,2,Medium,Supplier X
2025-01-17,Hospital A,Flour,101,19,27,93,6,Medium,Supplier Y
2025-01-17,Hospital B,Paracetamol,107,40,63,84,4,High,Supplier X
2025-01-17,Hospital B,Amoxicillin,86,37,45,78,6,High,Supplier Y
2025-01-17,Hospital B,Rice,138,33,128,43,3,Medium,Supplier X
2025-01-17,Hospital B,Flour,122,28,136,14,2,Medium,Supplier Y
2025-01-17,Warehouse C,Paracetamol,119,21,137,3,3,High,Supplier X
2025-01-17,Warehouse C,Amoxicillin,172,8,63,117,2,High,Supplier Y
2025-01-17,Warehouse C,Rice,86,25,22,89,5,Medium,Supplier X
2025-01-17,Warehouse C,Flour,183,47,110,120,2,Medium,Supplier X
2025-01-18,Hospital A,Paracetamol,120,5,8,117,4,High,Supplier X
2025-01-18,Hospital A,Amoxicillin,71,20,67,24,2,High,Supplier Y
2025-01-18,Hospital A,Rice,165,6,145,26,2,Medium,Supplier Y
2025-01-18,Hospital A,Flour,74,35,63,46,4,Medium,Supplier X
2025-01-18,Hospital B,Paracetamol,56,8,26,38,4,High,Supplier X
2025-01-18,Hospital B,Amoxicillin,98,47,7,138,5,High,Supplier X
2025-01-18,Hospital B,Rice,78,25,93,10,3,Medium,Supplier Y
2025-01-18,Hospital B,Flour,169,12,150,31,5,Medium,Supplier X
2025-01-18,Warehouse C,Paracetamol,175,7,147,35,4,High,Supplier Y
2025-01-18,Warehouse C,Amoxicillin,64,33,71,26,6,High,Supplier Y
2025-01-18,Warehouse C,Rice,133,13,67,79,3,Medium,Supplier Y
2025-01-18,Warehouse C,Flour,105,28,65,68,2,Medium,Supplier Y
2025-01-19,Hospital A,Paracetamol,83,33,27,89,5,High,Supplier X
2025-01-19,Hospital A,Amoxicillin,125,28,141,12,4,High,Supplier X
2025-01-19,Hospital A,Rice,129,11,70,70,5,Medium,Supplier Y
2025-01-19,Hospital A,Flour,111,16,53,74,2,Medium,Supplier X
2025-01-19,Hospital B,Paracetamol,183,23,131,75,6,High,Supplier Y
2025-01-19,Hospital B,Amoxicillin,128,35,65,98,3,High,Supplier Y
2025-01-19,Hospital B,Rice,100,49,128,21,3,Medium,Supplier Y
2025-01-19,Hospital B,Flour,179,47,117,109,4,Medium,Supplier X
2025-01-19,Warehouse C,Paracetamol,81,1,27,55,2,High,Supplier Y
2025-01-19,Warehouse C,Amoxicillin,171,23,64,130,6,High,Supplier X
2025-01-19,Warehouse C,Rice,163,15,92,86,4,Medium,Supplier X
2025-01-19,Warehouse C,Flour,55,11,22,44,6,Medium,Supplier Y
2025-01-20,Hospital A,Paracetamol,154,24,20,158,5,High,Supplier Y
2025-01-20,Hospital A,Amoxicillin,100,18,4,114,4,High,Supplier X
2025-01-20,Hospital A,Rice,177,22,45,154,6,Medium,Supplier Y
2025-01-20,Hospital A,Flour,121,1,1,121,2,Medium,Supplier Y
2025-01-20,Hospital B,Paracetamol,164,7,91,80,6,High,Supplier X
2025-01-20,Hospital B,Amoxicillin,90,37,60,67,4,High,Supplier X
2025-01-20,Hospital B,Rice,156,8,83,81,2,Medium,Supplier X
2025-01-20,Hospital B,Flour,125,15,73,67,3,Medium,Supplier X
2025-01-20,Warehouse C,Paracetamol,191,14,113,92,6,High,Supplier X
2025-01-20,Warehouse C,Amoxicillin,159,32,140,51,6,High,Supplier Y
2025-01-20,Warehouse C,Rice,56,12,30,38,4,Medium,Supplier Y
2025-01-20,Warehouse C,Flour,150,28,19,159,6,Medium,Supplier Y
2025-01-21,Hospital A,Paracetamol,127,13,36,104,5,High,Supplier X
2025-01-21,Hospital A,Amoxicillin,92,18,28,82,6,High,Supplier Y
2025-01-21,Hospital A,Rice,170,35,45,160,6,Medium,Supplier X
2025-01-21,Hospital A,Flour,68,14,70,12,4,Medium,Supplier X
2025-01-21,Hospital B,Paracetamol,198,18,40,176,4,High,Supplier Y
2025-01-21,Hospital B,Amoxicillin,154,19,90,83,4,High,Supplier Y
2025-01-21,Hospital B,Rice,189,36,167,58,6,Medium,Supplier Y
2025-01-21,Hospital B,Flour,117,2,31,88,4,Medium,Supplier X
2025-01-21,Warehouse C,Paracetamol,84,3,6,81,6,High,Supplier X
2025-01-21,Warehouse C,Amoxicillin,163,37,171,29,4,High,Supplier X
2025-01-21,Warehouse C,Rice,162,47,86,123,2,Medium,Supplier Y
2025-01-21,Warehouse C,Flour,159,2,133,28,3,Medium,Supplier Y
2025-01-22,Hospital A,Paracetamol,161,22,54,129,5,High,Supplier Y
2025-01-22,Hospital A,Amoxicillin,147,19,20,146,2,High,Supplier X
2025-01-22,Hospital A,Rice,141,35,130,46,3,Medium,Supplier X
2025-01-22,Hospital A,Flour,98,19,91,26,2,Medium,Supplier X
2025-01-22,Hospital B,Paracetamol,79,26,38,67,6,High,Supplier Y
2025-01-22,Hospital B,Amoxicillin,63,41,78,26,3,High,Supplier X
2025-01-22,Hospital B,Rice,76,34,89,21,5,Medium,Supplier X
2025-01-22,Hospital B,Flour,142,45,47,140,3,Medium,Supplier X
2025-01-22,Warehouse C,Paracetamol,168,17,10,175,4,High,Supplier Y
2025-01-22,Warehouse C,Amoxicillin,150,48,17,181,2,High,Supplier Y
2025-01-22,Warehouse C,Rice,174,0,93,81,3,Medium,Supplier X
2025-01-22,Warehouse C,Flour,97,18,111,4,5,Medium,Supplier Y
2025-01-23,Hospital A,Paracetamol,185,33,80,138,4,High,Supplier X
2025-01-23,Hospital A,Amoxicillin,165,31,121,75,6,High,Supplier Y
2025-01-23,Hospital A,Rice,129,1,62,68,5,Medium,Supplier X
2025-01-23,Hospital A,Flour,104,7,66,45,3,Medium,Supplier Y
2025-01-23,Hospital B,Paracetamol,69,2,4,67,4,High,Supplier Y
2025-01-23,Hospital B,Amoxicillin,112,6,3,115,3,High,Supplier Y
2025-01-23,Hospital B,Rice,149,10,73,86,2,Medium,Supplier X
2025-01-23,Hospital B,Flour,177,1,143,35,6,Medium,Supplier Y
2025-01-23,Warehouse C,Paracetamol,133,4,134,3,2,High,Supplier Y
2025-01-23,Warehouse C,Amoxicillin,78,19,85,12,3,High,Supplier Y
2025-01-23,Warehouse C,Rice,145,23,143,25,5,Medium,Supplier X
2025-01-23,Warehouse C,Flour,85,39,42,82,2,Medium,Supplier Y
2025-01-24,Hospital A,Paracetamol,110,12,40,82,5,High,Supplier Y
2025-01-24,Hospital A,Amoxicillin,51,31,74,8,4,High,Supplier X
2025-01-24,Hospital A,Rice,156,10,54,112,2,Medium,Supplier Y
2025-01-24,Hospital A,Flour,92,36,36,92,3,Medium,Supplier Y
2025-01-24,Hospital B,Paracetamol,91,25,104,12,6,High,Supplier X
2025-01-24,Hospital B,Amoxicillin,190,47,148,89,4,High,Supplier X
2025-01-24,Hospital B,Rice,134,31,61,104,5,Medium,Supplier X
2025-01-24,Hospital B,Flour,58,3,10,51,6,Medium,Supplier Y
2025-01-24,Warehouse C,Paracetamol,107,21,59,69,3,High,Supplier Y
2025-01-24,Warehouse C,Amoxicillin,140,13,1,152,5,High,Supplier X
2025-01-24,Warehouse C,Rice,155,33,120,68,4,Medium,Supplier Y
2025-01-24,Warehouse C,Flour,127,18,125,20,5,Medium,Supplier Y
2025-01-25,Hospital A,Paracetamol,147,36,108,75,3,High,Supplier X
2025-01-25,Hospital A,Amoxicillin,142,46,167,21,4,High,Supplier Y
2025-01-25,Hospital A,Rice,74,30,67,37,2,Medium,Supplier Y
2025-01-25,Hospital A,Flour,158,4,54,108,5,Medium,Supplier X
2025-01-25,Hospital B,Paracetamol,88,27,38,77,6,High,Supplier X
2025-01-25,Hospital B,Amoxicillin,172,22,60,134,3,High,Supplier X
2025-01-25,Hospital B,Rice,146,47,188,5,6,Medium,Supplier X
2025-01-25,Hospital B,Flour,101,34,134,1,5,Medium,Supplier Y
2025-01-25,Warehouse C,Paracetamol,76,48,69,55,4,High,Supplier X
2025-01-25,Warehouse C,Amoxicillin,75,13,9,79,3,High,Supplier X
2025-01-25,Warehouse C,Rice,168,42,108,102,6,Medium,Supplier Y
2025-01-25,Warehouse C,Flour,152,15,137,30,2,Medium,Supplier X
2025-01-26,Hospital A,Paracetamol,114,2,83,33,6,High,Supplier Y
2025-01-26,Hospital A,Amoxicillin,65,30,42,53,6,High,Supplier X
2025-01-26,Hospital A,Rice,72,6,50,28,2,Medium,Supplier X
2025-01-26,Hospital A,Flour,179,30,29,180,6,Medium,Supplier X
2025-01-26,Hospital B,Paracetamol,187,47,220,14,6,High,Supplier X
2025-01-26,Hospital B,Amoxicillin,131,39,143,27,4,High,Supplier X
2025-01-26,Hospital B,Rice,199,5,132,72,5,Medium,Supplier Y
2025-01-26,Hospital B,Flour,160,23,80,103,3,Medium,Supplier Y
2025-01-26,Warehouse C,Paracetamol,116,23,87,52,2,High,Supplier Y
2025-01-26,Warehouse C,Amoxicillin,69,4,69,4,3,High,Supplier Y
2025-01-26,Warehouse C,Rice,76,25,52,49,3,Medium,Supplier X
2025-01-26,Warehouse C,Flour,128,34,132,30,2,Medium,Supplier Y
2025-01-27,Hospital A,Paracetamol,178,17,178,17,3,High,Supplier Y
2025-01-27,Hospital A,Amoxicillin,93,43,80,56,3,High,Supplier Y
2025-01-27,Hospital A,Rice,97,7,8,96,6,Medium,Supplier Y
2025-01-27,Hospital A,Flour,165,4,18,151,4,Medium,Supplier Y
2025-01-27,Hospital B,Paracetamol,87,24,11,100,6,High,Supplier Y
2025-01-27,Hospital B,Amoxicillin,91,29,5,115,3,High,Supplier Y
2025-01-27,Hospital B,Rice,122,14,27,109,2,Medium,Supplier X
2025-01-27,Hospital B,Flour,50,25,21,54,4,Medium,Supplier X
2025-01-27,Warehouse C,Paracetamol,89,26,24,91,6,High,Supplier Y
2025-01-27,Warehouse C,Amoxicillin,107,34,117,24,6,High,Supplier X
2025-01-27,Warehouse C,Rice,199,38,191,46,2,Medium,Supplier Y
2025-01-27,Warehouse C,Flour,187,5,159,33,6,Medium,Supplier X
2025-01-28,Hospital A,Paracetamol,139,22,155,6,2,High,Supplier Y
2025-01-28,Hospital A,Amoxicillin,139,7,96,50,6,High,Supplier X
2025-01-28,Hospital A,Rice,80,39,84,35,5,Medium,Supplier Y
2025-01-28,Hospital A,Flour,156,19,90,85,2,Medium,Supplier X
2025-01-28,Hospital B,Paracetamol,152,19,151,20,4,High,Supplier Y
2025-01-28,Hospital B,Amoxicillin,180,6,67,119,5,High,Supplier Y
2025-01-28,Hospital B,Rice,62,39,11,90,4,Medium,Supplier X
2025-01-28,Hospital B,Flour,51,11,61,1,3,Medium,Supplier X
2025-01-28,Warehouse C,Paracetamol,129,8,47,90,2,High,Supplier Y
2025-01-28,Warehouse C,Amoxicillin,93,18,21,90,2,High,Supplier X
2025-01-28,Warehouse C,Rice,157,22,88,91,2,Medium,Supplier Y
2025-01-28,Warehouse C,Flour,77,6,70,13,6,Medium,Supplier Y
2025-01-29,Hospital A,Paracetamol,54,7,29,32,5,High,Supplier X
2025-01-29,Hospital A,Amoxicillin,135,47,14,168,4,High,Supplier X
2025-01-29,Hospital A,Rice,56,47,73,30,6,Medium,Supplier Y
2025-01-29,Hospital A,Flour,84,1,53,32,6,Medium,Supplier X
2025-01-29,Hospital B,Paracetamol,157,12,104,65,4,High,Supplier X
2025-01-29,Hospital B,Amoxicillin,79,36,89,26,2,High,Supplier Y
2025-01-29,Hospital B,Rice,144,32,171,5,2,Medium,Supplier Y
2025-01-29,Hospital B,Flour,103,32,4,131,5,Medium,Supplier Y
2025-01-29,Warehouse C,Paracetamol,168,27,50,145,3,High,Supplier X
2025-01-29,Warehouse C,Amoxicillin,105,0,103,2,2,High,Supplier X
2025-01-29,Warehouse C,Rice,101,11,2,110,3,Medium,Supplier X
2025-01-29,Warehouse C,Flour,186,41,53,174,4,Medium,Supplier X
2025-01-30,Hospital A,Paracetamol,55,31,42,44,2,High,Supplier Y
2025-01-30,Hospital A,Amoxicillin,156,42,90,108,6,High,Supplier Y
2025-01-30,Hospital A,Rice,182,30,29,183,4,Medium,Supplier X
2025-01-30,Hospital A,Flour,165,19,139,45,3,Medium,Supplier Y
2025-01-30,Hospital B,Paracetamol,105,46,84,67,6,High,Supplier X
2025-01-30,Hospital B,Amoxicillin,170,31,39,162,3,High,Supplier X
2025-01-30,Hospital B,Rice,106,0,62,44,4,Medium,Supplier Y
2025-01-30,Hospital B,Flour,77,44,44,77,6,Medium,Supplier Y
2025-01-30,Warehouse C,Paracetamol,140,16,87,69,6,High,Supplier X
2025-01-30,Warehouse C,Amoxicillin,190,23,182,31,3,High,Supplier X
2025-01-30,Warehouse C,Rice,139,27,80,86,2,Medium,Supplier Y
2025-01-30,Warehouse C,Flour,90,33,28,95,6,Medium,Supplier Y
2025-01-31,Hospital A,Paracetamol,53,3,17,39,3,High,Supplier Y
