brand_name,generic_name,manufacturer,therapeutic_class,price,final_price,availability_status,rating,num_reviews
BioTrust,Metformin,Global Remedies,Antibiotic,264.13,224.51,Limited,3.2,438
BioTrust,Amoxicillin,Medicare Ltd,Antidiabetic,672.4,605.16,Out of stock,4.0,274
PharmaOne,Atorvastatin,Global Remedies,Analgesic,1700.55,1530.49,In stock,3.2,478
LifeCare,Paracetamol,Sun Healthcare,Analgesic,1565.63,1252.5,Limited,2.8,381
Medix,Atorvastatin,Sun Healthcare,Antidiabetic,1012.67,810.14,In stock,4.4,50
BioTrust,Amoxicillin,Sun Healthcare,Antacid,315.95,300.15,Limited,3.7,95
PharmaOne,Metformin,Global Remedies,Antibiotic,424.61,424.61,Out of stock,2.7,307
PharmaOne,Paracetamol,Sun Healthcare,Antacid,588.35,588.35,Limited,4.1,279
HealPlus,Omeprazole,Global Remedies,Analgesic,429.94,365.45,Out of stock,3.5,336
HealPlus,Amoxicillin,Global Remedies,Antibiotic,743.22,631.74,In stock,4.7,427
Medix,Omeprazole,Sun Healthcare,Antibiotic,1135.25,964.96,Out of stock,3.0,437
PharmaOne,Atorvastatin,Nova Life,Analgesic,587.83,499.66,In stock,4.2,82
BioTrust,Amoxicillin,ABC Pharma,Antibiotic,758.68,606.94,Limited,4.0,142
LifeCare,Amoxicillin,Nova Life,Antihypertensive,763.2,725.04,Out of stock,4.9,491
HealPlus,Omeprazole,Sun Healthcare,Analgesic,1485.5,1336.95,Out of stock,2.9,157
BioTrust,Atorvastatin,Medicare Ltd,Antacid,1425.92,1425.92,In stock,3.3,89
PharmaOne,Omeprazole,Medicare Ltd,Antacid,727.5,654.75,Out of stock,3.5,337
PharmaOne,Amoxicillin,Global Remedies,Antidiabetic,1806.14,1625.53,In stock,2.8,212
BioTrust,Paracetamol,Nova Life,Antihypertensive,221.77,199.59,Out of stock,3.6,464
PharmaOne,Omeprazole,Nova Life,Antibiotic,186.68,149.34,Out of stock,4.0,185
Medix,Metformin,Medicare Ltd,Analgesic,87.1,78.39,Limited,3.5,347
PharmaOne,Metformin,Sun Healthcare,Antibiotic,155.24,155.24,Limited,2.5,213
BioTrust,Paracetamol,Medicare Ltd,Antidiabetic,916.32,916.32,In stock,3.9,15
PharmaOne,Amoxicillin,Nova Life,Antihypertensive,581.73,581.73,Out of stock,3.7,265
BioTrust,Paracetamol,ABC Pharma,Antacid,309.29,309.29,Limited,4.1,263
Medix,Atorvastatin,Medicare Ltd,Antidiabetic,1248.5,1061.22,In stock,4.0,292
BioTrust,Paracetamol,Global Remedies,Antihypertensive,750.13,637.61,Out of stock,4.7,210
PharmaOne,Paracetamol,Nova Life,Antacid,1419.33,1135.46,Out of stock,4.2,224
HealPlus,Omeprazole,ABC Pharma,Antibiotic,507.98,406.38,In stock,3.5,196
PharmaOne,Atorvastatin,Medicare Ltd,Antihypertensive,832.25,749.02,In stock,3.8,224
LifeCare,Paracetamol,ABC Pharma,Antihypertensive,1310.19,1048.15,In stock,4.6,499
BioTrust,Atorvastatin,Sun Healthcare,Analgesic,1168.13,1109.72,Out of stock,2.9,455
Medix,Atorvastatin,ABC Pharma,Antibiotic,487.23,414.15,Limited,3.4,107
HealPlus,Amoxicillin,Nova Life,Antihypertensive,1147.25,917.8,Limited,4.3,338
BioTrust,Metformin,Nova Life,Antibiotic,1237.58,1051.94,In stock,2.5,105
LifeCare,Omeprazole,Sun Healthcare,Antacid,692.03,588.23,Limited,3.1,216
LifeCare,Omeprazole,ABC Pharma,Antihypertensive,1064.22,1064.22,Out of stock,2.6,391
LifeCare,Omeprazole,Nova Life,Antihypertensive,1577.95,1262.36,In stock,3.8,453
BioTrust,Metformin,Sun Healthcare,Antihypertensive,468.73,468.73,In stock,3.4,386
LifeCare,Atorvastatin,Medicare Ltd,Analgesic,207.79,207.79,Out of stock,2.7,297
BioTrust,Paracetamol,Global Remedies,Antibiotic,1965.91,1965.91,Limited,3.0,96
PharmaOne,Paracetamol,Global Remedies,Antidiabetic,1717.33,1631.46,Out of stock,5.0,57
LifeCare,Metformin,Global Remedies,Antidiabetic,1633.65,1633.65,Out of stock,4.5,178
HealPlus,Paracetamol,Global Remedies,Analgesic,1872.56,1872.56,Out of stock,4.4,444
LifeCare,Atorvastatin,ABC Pharma,Analgesic,629.22,629.22,In stock,3.1,143
Medix,Omeprazole,Medicare Ltd,Antacid,1581.18,1581.18,Out of stock,4.7,436
LifeCare,Paracetamol,Nova Life,Antidiabetic,377.28,301.82,Out of stock,3.0,404
PharmaOne,Atorvastatin,Medicare Ltd,Antacid,1994.73,1795.26,Limited,3.7,327
BioTrust,Paracetamol,Nova Life,Antihypertensive,745.8,633.93,In stock,3.0,393
LifeCare,Paracetamol,Sun Healthcare,Antacid,304.91,243.93,In stock,2.8,403
Medix,Paracetamol,Medicare Ltd,Analgesic,1135.72,1135.72,Limited,3.9,328
LifeCare,Omeprazole,Medicare Ltd,Analgesic,415.96,395.16,In stock,4.7,34
BioTrust,Atorvastatin,Medicare Ltd,Antihypertensive,1330.54,1264.01,Limited,3.4,413
BioTrust,Amoxicillin,Medicare Ltd,Antibiotic,394.73,355.26,In stock,3.6,151
Medix,Metformin,Global Remedies,Antidiabetic,957.8,862.02,Out of stock,2.7,47
BioTrust,Paracetamol,ABC Pharma,Antidiabetic,1972.25,1972.25,In stock,3.0,289
PharmaOne,Metformin,Global Remedies,Analgesic,1235.95,1174.15,Out of stock,4.8,52
LifeCare,Amoxicillin,Sun Healthcare,Antibiotic,192.2,192.2,In stock,3.8,465
LifeCare,Omeprazole,Global Remedies,Antihypertensive,1238.45,1176.53,In stock,4.4,271
PharmaOne,Omeprazole,Nova Life,Analgesic,1349.63,1147.19,Out of stock,2.8,490
LifeCare,Atorvastatin,Medicare Ltd,Antidiabetic,1014.07,1014.07,In stock,4.1,246
LifeCare,Amoxicillin,Medicare Ltd,Antacid,151.72,128.96,Out of stock,3.1,266
BioTrust,Metformin,Global Remedies,Antibiotic,998.65,948.72,Limited,2.9,133
BioTrust,Atorvastatin,Global Remedies,Antihypertensive,1870.9,1870.9,Limited,4.1,450
Medix,Paracetamol,Nova Life,Antihypertensive,1281.58,1217.5,In stock,3.1,395
LifeCare,Paracetamol,Global Remedies,Analgesic,1243.74,1057.18,In stock,3.4,226
HealPlus,Metformin,Global Remedies,Analgesic,899.87,764.89,In stock,3.3,426
BioTrust,Omeprazole,Sun Healthcare,Antibiotic,724.18,687.97,Out of stock,3.3,314
BioTrust,Amoxicillin,ABC Pharma,Antihypertensive,93.23,74.58,In stock,3.6,101
HealPlus,Atorvastatin,ABC Pharma,Antacid,858.45,729.68,In stock,4.7,183
BioTrust,Atorvastatin,Nova Life,Analgesic,170.62,145.03,Out of stock,2.6,401
HealPlus,Atorvastatin,ABC Pharma,Antacid,1385.94,1108.75,In stock,2.8,455
BioTrust,Paracetamol,ABC Pharma,Antidiabetic,1547.11,1315.04,Out of stock,2.6,352
HealPlus,Paracetamol,Medicare Ltd,Antibiotic,274.17,274.17,Limited,5.0,308
PharmaOne,Omeprazole,Sun Healthcare,Analgesic,1256.87,1131.18,Out of stock,4.2,420
BioTrust,Atorvastatin,Global Remedies,Analgesic,1041.13,1041.13,Out of stock,2.5,414
BioTrust,Paracetamol,Medicare Ltd,Antihypertensive,1404.58,1334.35,Out of stock,5.0,188
PharmaOne,Paracetamol,Global Remedies,Antihypertensive,1107.45,885.96,Limited,3.5,179
HealPlus,Metformin,ABC Pharma,Antihypertensive,24.84,21.11,Limited,3.4,428
PharmaOne,Atorvastatin,Sun Healthcare,Antacid,1253.0,1002.4,Limited,4.6,251
Medix,Amoxicillin,Sun Healthcare,Antidiabetic,349.23,279.38,In stock,4.2,139
BioTrust,Paracetamol,Medicare Ltd,Antibiotic,286.76,286.76,Limited,3.2,218
LifeCare,Amoxicillin,Nova Life,Analgesic,1350.3,1215.27,Out of stock,4.1,333
Medix,Omeprazole,Sun Healthcare,Antidiabetic,445.56,378.73,Limited,3.5,266
BioTrust,Amoxicillin,Nova Life,Antihypertensive,239.58,191.66,Out of stock,3.6,179
LifeCare,Omeprazole,Sun Healthcare,Antibiotic,1745.61,1483.77,Limited,5.0,314
Medix,Paracetamol,Nova Life,Analgesic,1767.42,1590.68,Out of stock,2.6,190
BioTrust,Paracetamol,Medicare Ltd,Antibiotic,1911.83,1529.46,Limited,4.0,273
PharmaOne,Omeprazole,Global Remedies,Antidiabetic,152.45,137.2,Limited,4.6,200
HealPlus,Atorvastatin,Medicare Ltd,Antibiotic,690.46,586.89,Limited,2.5,371
BioTrust,Omeprazole,ABC Pharma,Antacid,1249.38,999.5,Out of stock,4.8,60
PharmaOne,Metformin,Medicare Ltd,Antacid,308.63,293.2,Limited,3.3,170
Medix,Atorvastatin,Medicare Ltd,Antihypertensive,1642.42,1313.94,Out of stock,4.1,185
PharmaOne,Atorvastatin,ABC Pharma,Antibiotic,753.36,715.69,Out of stock,3.9,355
Medix,Atorvastatin,Medicare Ltd,Antidiabetic,1310.17,1244.66,Out of stock,3.9,352
BioTrust,Paracetamol,ABC Pharma,Antacid,488.17,414.94,Limited,4.6,184
PharmaOne,Metformin,Medicare Ltd,Antacid,980.87,833.74,In stock,4.7,468
LifeCare,Omeprazole,Nova Life,Antidiabetic,41.39,41.39,In stock,4.0,253
HealPlus,Paracetamol,Medicare Ltd,Antihypertensive,1172.51,996.63,Limited,4.6,352
LifeCare,Atorvastatin,Medicare Ltd,Antihypertensive,98.78,88.9,In stock,4.7,31
PharmaOne,Amoxicillin,Sun Healthcare,Antidiabetic,545.32,490.79,Limited,4.6,338
LifeCare,Paracetamol,Sun Healthcare,Antihypertensive,1541.16,1232.93,Limited,3.7,212
LifeCare,Metformin,Sun Healthcare,Antibiotic,1295.53,1101.2,Limited,4.3,470
HealPlus,Atorvastatin,Nova Life,Antihypertensive,1081.92,919.63,Out of stock,4.4,140
Medix,Paracetamol,Global Remedies,Antacid,783.46,626.77,In stock,3.5,485
Medix,Amoxicillin,Nova Life,Antihypertensive,689.77,689.77,Limited,4.0,262
HealPlus,Amoxicillin,Nova Life,Antacid,1669.43,1585.96,In stock,3.4,15
LifeCare,Paracetamol,Medicare Ltd,Analgesic,617.29,493.83,In stock,3.5,3
Medix,Omeprazole,Sun Healthcare,Antibiotic,1704.89,1449.16,Out of stock,2.7,268
HealPlus,Amoxicillin,ABC Pharma,Antacid,1119.25,1119.25,Out of stock,2.7,240
HealPlus,Amoxicillin,Medicare Ltd,Antihypertensive,1712.56,1626.93,Out of stock,4.3,87
HealPlus,Metformin,Sun Healthcare,Antibiotic,1470.25,1323.22,In stock,3.8,468
HealPlus,Paracetamol,Sun Healthcare,Analgesic,241.3,205.11,In stock,4.7,176
PharmaOne,Amoxicillin,ABC Pharma,Antihypertensive,1936.28,1936.28,Limited,4.0,166
BioTrust,Omeprazole,Sun Healthcare,Antacid,1617.89,1537.0,Out of stock,3.7,184
Medix,Atorvastatin,ABC Pharma,Antidiabetic,1276.54,1276.54,In stock,2.7,58
LifeCare,Omeprazole,Sun Healthcare,Antihypertensive,642.31,642.31,Limited,2.9,215
HealPlus,Paracetamol,ABC Pharma,Antidiabetic,1102.6,1102.6,Out of stock,3.0,488
HealPlus,Omeprazole,Sun Healthcare,Antidiabetic,1113.93,891.14,Out of stock,4.4,14
PharmaOne,Amoxicillin,Sun Healthcare,Antidiabetic,882.56,838.43,In stock,4.0,16
BioTrust,Metformin,Global Remedies,Analgesic,630.47,535.9,In stock,2.9,187
LifeCare,Metformin,Sun Healthcare,Antihypertensive,109.66,98.69,Limited,3.9,248
PharmaOne,Metformin,Global Remedies,Antidiabetic,1749.9,1574.91,Limited,2.9,277
BioTrust,Metformin,Medicare Ltd,Antidiabetic,156.5,133.03,Out of stock,3.1,68
HealPlus,Amoxicillin,Sun Healthcare,Antacid,455.43,432.66,Out of stock,4.0,429
BioTrust,Paracetamol,Sun Healthcare,Analgesic,811.54,689.81,Out of stock,3.0,146
LifeCare,Omeprazole,Nova Life,Analgesic,1235.78,1050.41,In stock,2.6,370
BioTrust,Omeprazole,Sun Healthcare,Antidiabetic,606.03,545.43,In stock,4.0,290
LifeCare,Metformin,Sun Healthcare,Analgesic,1751.29,1663.73,Limited,4.2,475
Medix,Omeprazole,Nova Life,Antacid,1917.2,1821.34,In stock,3.7,18
HealPlus,Metformin,Global Remedies,Antihypertensive,1376.95,1376.95,In stock,2.8,154
HealPlus,Amoxicillin,Medicare Ltd,Antacid,970.73,970.73,In stock,2.6,496
Medix,Omeprazole,Global Remedies,Analgesic,1992.03,1693.23,In stock,4.5,149
PharmaOne,Amoxicillin,Medicare Ltd,Analgesic,1478.86,1404.92,Limited,4.4,253
PharmaOne,Amoxicillin,Nova Life,Analgesic,867.97,867.97,Out of stock,2.8,164
HealPlus,Metformin,Sun Healthcare,Antacid,977.95,977.95,Out of stock,4.7,120
BioTrust,Metformin,ABC Pharma,Antihypertensive,175.35,140.28,In stock,2.6,78
HealPlus,Amoxicillin,Global Remedies,Analgesic,105.13,84.1,In stock,4.1,324
PharmaOne,Amoxicillin,Global Remedies,Analgesic,1105.79,939.92,In stock,4.6,272
Medix,Atorvastatin,Medicare Ltd,Antibiotic,1608.48,1528.06,In stock,4.5,272
LifeCare,Atorvastatin,Nova Life,Antacid,868.54,738.26,Limited,3.2,29
Medix,Atorvastatin,Sun Healthcare,Antacid,383.99,345.59,In stock,3.0,409
Medix,Metformin,Nova Life,Antibiotic,121.97,121.97,In stock,3.9,50
Medix,Atorvastatin,Nova Life,Antidiabetic,629.37,503.5,Out of stock,3.4,302
LifeCare,Metformin,Medicare Ltd,Analgesic,69.71,62.74,Limited,3.5,494
PharmaOne,Paracetamol,Nova Life,Antidiabetic,1253.21,1253.21,In stock,4.4,285
HealPlus,Paracetamol,Global Remedies,Antihypertensive,1422.07,1350.97,In stock,3.5,166
BioTrust,Paracetamol,Global Remedies,Antihypertensive,881.94,881.94,Out of stock,4.2,420
Medix,Atorvastatin,Global Remedies,Analgesic,649.63,519.7,Out of stock,4.4,74
Medix,Omeprazole,Global Remedies,Analgesic,1055.66,950.09,Out of stock,3.9,499
LifeCare,Metformin,Medicare Ltd,Antacid,868.48,868.48,Limited,3.8,28
PharmaOne,Omeprazole,Sun Healthcare,Antacid,725.33,725.33,Out of stock,3.6,426
Medix,Metformin,Nova Life,Antidiabetic,206.42,196.1,Limited,4.3,32
HealPlus,Amoxicillin,Nova Life,Antibiotic,1339.62,1339.62,Out of stock,2.9,158
BioTrust,Atorvastatin,ABC Pharma,Antihypertensive,227.05,204.35,In stock,2.5,436
LifeCare,Amoxicillin,Medicare Ltd,Antihypertensive,1631.72,1386.96,In stock,3.1,459
Medix,Omeprazole,Nova Life,Antihypertensive,141.84,113.47,Limited,3.4,463
LifeCare,Metformin,ABC Pharma,Antacid,1373.55,1098.84,Out of stock,4.5,500
BioTrust,Atorvastatin,Global Remedies,Antibiotic,1640.8,1558.76,Limited,4.9,316
Medix,Omeprazole,ABC Pharma,Antihypertensive,1770.51,1681.98,In stock,3.5,274
LifeCare,Paracetamol,Nova Life,Antidiabetic,362.95,290.36,Out of stock,4.7,171
PharmaOne,Paracetamol,ABC Pharma,Antidiabetic,1803.74,1623.37,Limited,4.5,94
HealPlus,Paracetamol,Global Remedies,Analgesic,733.12,659.81,In stock,3.3,437
PharmaOne,Omeprazole,Global Remedies,Antibiotic,599.0,509.15,Out of stock,2.7,40
HealPlus,Omeprazole,Medicare Ltd,Antihypertensive,1059.19,1059.19,Limited,3.4,429
PharmaOne,Atorvastatin,Global Remedies,Antibiotic,378.9,378.9,Out of stock,3.6,289
Medix,Atorvastatin,Nova Life,Antacid,1671.63,1588.05,Out of stock,4.4,321
LifeCare,Atorvastatin,Nova Life,Antihypertensive,461.03,414.93,Limited,4.8,181
Medix,Atorvastatin,Global Remedies,Antibiotic,1044.43,887.77,Limited,4.0,228
PharmaOne,Metformin,ABC Pharma,Analgesic,358.76,340.82,Out of stock,4.4,236
BioTrust,Paracetamol,ABC Pharma,Antibiotic,1448.95,1231.61,In stock,4.9,79
HealPlus,Amoxicillin,Medicare Ltd,Antacid,186.91,158.87,Out of stock,3.1,61
PharmaOne,Omeprazole,ABC Pharma,Antibiotic,1009.07,857.71,Out of stock,4.5,40
PharmaOne,Metformin,Nova Life,Antacid,719.82,647.84,Limited,4.3,153
LifeCare,Metformin,Global Remedies,Antibiotic,903.86,903.86,In stock,4.6,121
LifeCare,Paracetamol,Medicare Ltd,Antibiotic,1377.63,1308.75,Out of stock,4.7,275
Medix,Amoxicillin,Global Remedies,Analgesic,185.25,157.46,Limited,4.3,352
LifeCare,Omeprazole,Medicare Ltd,Antidiabetic,949.73,902.24,In stock,4.2,127
PharmaOne,Paracetamol,Sun Healthcare,Antidiabetic,1731.54,1471.81,Limited,2.9,170
Medix,Omeprazole,Global Remedies,Antibiotic,1563.92,1563.92,Limited,4.4,3
Medix,Omeprazole,Nova Life,Antacid,817.43,653.94,Limited,3.2,476
LifeCare,Amoxicillin,ABC Pharma,Analgesic,188.13,178.72,In stock,4.5,306
PharmaOne,Atorvastatin,Sun Healthcare,Antibiotic,1090.37,1035.85,Out of stock,2.5,128
PharmaOne,Amoxicillin,Sun Healthcare,Antidiabetic,155.72,124.58,Out of stock,4.5,311
HealPlus,Paracetamol,ABC Pharma,Analgesic,722.1,686.0,In stock,5.0,322
HealPlus,Amoxicillin,Nova Life,Antibiotic,1214.83,1093.35,In stock,5.0,154
PharmaOne,Paracetamol,Nova Life,Antibiotic,184.84,166.36,In stock,3.1,349
LifeCare,Omeprazole,Sun Healthcare,Antacid,1347.0,1077.6,Out of stock,3.8,132
HealPlus,Paracetamol,ABC Pharma,Antacid,1249.62,1124.66,Limited,3.6,52
Medix,Atorvastatin,ABC Pharma,Analgesic,1231.35,1231.35,Out of stock,3.3,90
HealPlus,Omeprazole,ABC Pharma,Antacid,1869.58,1589.14,Out of stock,4.5,446
Medix,Omeprazole,ABC Pharma,Analgesic,284.63,284.63,Limited,4.8,159
LifeCare,Metformin,Medicare Ltd,Antibiotic,377.56,339.8,Out of stock,3.1,150
LifeCare,Paracetamol,Sun Healthcare,Antihypertensive,122.62,110.36,Limited,4.6,211
LifeCare,Atorvastatin,Global Remedies,Antihypertensive,222.37,177.9,Out of stock,4.6,317
PharmaOne,Metformin,ABC Pharma,Antibiotic,400.34,360.31,Limited,3.9,245
BioTrust,Paracetamol,Global Remedies,Antibiotic,1429.77,1429.77,In stock,4.3,382
LifeCare,Metformin,Sun Healthcare,Analgesic,59.16,59.16,Out of stock,3.4,342
HealPlus,Atorvastatin,ABC Pharma,Analgesic,1624.7,1624.7,Limited,4.3,209
Medix,Amoxicillin,Sun Healthcare,Analgesic,55.21,52.45,In stock,3.7,201
PharmaOne,Amoxicillin,Medicare Ltd,Antacid,91.18,86.62,Out of stock,4.7,493
PharmaOne,Omeprazole,Medicare Ltd,Analgesic,1766.19,1501.26,Limited,4.9,403
Medix,Paracetamol,ABC Pharma,Antihypertensive,1057.92,1005.02,Out of stock,4.0,166
Medix,Metformin,Nova Life,Antidiabetic,1870.0,1776.5,Limited,4.3,255
PharmaOne,Metformin,Sun Healthcare,Antidiabetic,972.17,972.17,Out of stock,3.4,425
HealPlus,Paracetamol,Medicare Ltd,Antibiotic,1850.98,1850.98,In stock,4.1,287
PharmaOne,Atorvastatin,Medicare Ltd,Antibiotic,113.22,90.58,Limited,4.6,224
Medix,Metformin,Nova Life,Antihypertensive,1553.24,1553.24,Out of stock,3.4,418
HealPlus,Metformin,Medicare Ltd,Antacid,608.31,517.06,Limited,3.6,4
PharmaOne,Atorvastatin,Global Remedies,Antidiabetic,798.37,638.7,Limited,4.9,470
Medix,Amoxicillin,Nova Life,Analgesic,416.07,353.66,In stock,4.8,411
HealPlus,Amoxicillin,Sun Healthcare,Antacid,436.33,436.33,In stock,3.7,275
LifeCare,Metformin,ABC Pharma,Antidiabetic,1456.88,1311.19,Limited,4.5,161
PharmaOne,Omeprazole,Global Remedies,Analgesic,1672.31,1588.69,Out of stock,3.7,106
BioTrust,Atorvastatin,ABC Pharma,Antacid,499.12,399.3,Limited,2.8,194
Medix,Metformin,ABC Pharma,Antihypertensive,972.21,777.77,Limited,3.3,243
LifeCare,Paracetamol,ABC Pharma,Antidiabetic,1990.83,1990.83,Limited,3.1,308
HealPlus,Amoxicillin,Medicare Ltd,Antacid,1232.62,1170.99,Out of stock,3.5,105
HealPlus,Metformin,Sun Healthcare,Antacid,676.12,642.31,Limited,3.7,31
HealPlus,Atorvastatin,Sun Healthcare,Antibiotic,1014.02,963.32,Out of stock,4.2,2
PharmaOne,Paracetamol,Nova Life,Antidiabetic,373.92,355.22,Out of stock,3.5,299
LifeCare,Amoxicillin,Sun Healthcare,Analgesic,144.48,115.58,Out of stock,5.0,345
BioTrust,Atorvastatin,ABC Pharma,Antacid,1687.76,1687.76,Limited,3.2,255
BioTrust,Paracetamol,Global Remedies,Antidiabetic,223.48,178.78,Out of stock,3.7,182
BioTrust,Omeprazole,Sun Healthcare,Antibiotic,568.05,568.05,Limited,2.8,477
LifeCare,Atorvastatin,Nova Life,Analgesic,1539.79,1539.79,Out of stock,4.8,144
PharmaOne,Paracetamol,Global Remedies,Antibiotic,1410.78,1269.7,Out of stock,3.4,254
Medix,Metformin,Sun Healthcare,Antihypertensive,1355.46,1152.14,Limited,4.9,154
LifeCare,Paracetamol,ABC Pharma,Antihypertensive,663.17,530.54,Out of stock,3.8,371
LifeCare,Atorvastatin,Sun Healthcare,Antidiabetic,999.65,849.7,Limited,4.4,420
BioTrust,Amoxicillin,Sun Healthcare,Analgesic,1998.25,1698.51,In stock,4.2,110
Medix,Omeprazole,Sun Healthcare,Antihypertensive,700.51,700.51,In stock,5.0,472
BioTrust,Atorvastatin,Sun Healthcare,Analgesic,1776.49,1687.67,Limited,2.8,136
BioTrust,Amoxicillin,Medicare Ltd,Analgesic,1918.64,1726.78,In stock,4.4,413
BioTrust,Omeprazole,Medicare Ltd,Antidiabetic,1307.51,1307.51,Limited,2.6,119
LifeCare,Paracetamol,ABC Pharma,Antibiotic,1802.96,1532.52,Out of stock,4.8,451
HealPlus,Metformin,Global Remedies,Antacid,1747.88,1485.7,Out of stock,2.6,375
BioTrust,Paracetamol,Sun Healthcare,Antidiabetic,1625.56,1544.28,Out of stock,4.6,235
HealPlus,Atorvastatin,Sun Healthcare,Analgesic,763.58,763.58,Limited,4.2,40
Medix,Omeprazole,Nova Life,Antibiotic,1443.39,1154.71,Out of stock,4.2,331
Medix,Omeprazole,Medicare Ltd,Antacid,65.24,52.19,In stock,4.1,312
LifeCare,Paracetamol,Sun Healthcare,Antibiotic,854.33,811.61,Out of stock,3.3,297
Medix,Amoxicillin,Medicare Ltd,Antacid,1748.81,1661.37,In stock,3.3,299
LifeCare,Amoxicillin,ABC Pharma,Analgesic,1419.13,1206.26,In stock,2.7,22
HealPlus,Paracetamol,ABC Pharma,Analgesic,1139.22,1139.22,Limited,3.8,164
HealPlus,Paracetamol,Sun Healthcare,Antihypertensive,1889.68,1511.74,Limited,4.8,292
LifeCare,Atorvastatin,Nova Life,Antacid,1044.76,835.81,In stock,3.5,86
Medix,Omeprazole,Medicare Ltd,Antacid,161.96,153.86,Out of stock,2.7,258
Medix,Atorvastatin,Global Remedies,Antihypertensive,1383.89,1176.31,Limited,4.4,351
HealPlus,Omeprazole,ABC Pharma,Antihypertensive,1936.76,1646.25,In stock,3.1,102
Medix,Paracetamol,Global Remedies,Antidiabetic,210.52,189.47,Limited,3.2,299
Medix,Amoxicillin,Global Remedies,Antidiabetic,848.82,679.06,In stock,3.5,379
BioTrust,Omeprazole,Medicare Ltd,Antihypertensive,1036.77,984.93,In stock,3.9,429
PharmaOne,Metformin,Global Remedies,Antibiotic,1660.51,1328.41,In stock,4.9,407
PharmaOne,Omeprazole,Nova Life,Antihypertensive,1501.45,1501.45,Out of stock,2.7,439
