date,location,item,closing_stock,Inventory_Status,Recommendation,Alert,supplier
2025-01-07,Warehouse C,Amoxicillin,31,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-07,Warehouse C,Rice,105,Healthy,No Action Required,OK,Supplier Y
2025-01-07,Warehouse C,Flour,90,Warning,Reorder Soon,OK,Supplier X
2025-01-08,Hospital A,Paracetamol,15,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-08,Hospital A,Amoxicillin,65,Warning,Reorder Soon,OK,Supplier Y
2025-01-08,Hospital A,Rice,140,Healthy,No Action Required,OK,Supplier X
2025-01-08,Hospital A,Flour,81,Warning,Reorder Soon,OK,Supplier X
2025-01-08,Hospital B,Paracetamol,82,Warning,Reorder Soon,OK,Supplier Y
2025-01-08,Hospital B,Amoxicillin,122,Healthy,No Action Required,OK,Supplier X
2025-01-08,Hospital B,Rice,66,Warning,Reorder Soon,OK,Supplier X
2025-01-08,Hospital B,Flour,53,Warning,Reorder Soon,OK,Supplier X
2025-01-08,Warehouse C,Paracetamol,44,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-08,Warehouse C,Amoxicillin,36,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-08,Warehouse C,Rice,43,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-08,Warehouse C,Flour,21,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-09,Hospital A,Paracetamol,3,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-09,Hospital A,Amoxicillin,166,Healthy,No Action Required,OK,Supplier Y
2025-01-09,Hospital A,Rice,19,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-09,Hospital A,Flour,17,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-09,Hospital B,Paracetamol,75,Warning,Reorder Soon,OK,Supplier Y
2025-01-09,Hospital B,Amoxicillin,110,Healthy,No Action Required,OK,Supplier Y
2025-01-09,Hospital B,Rice,51,Warning,Reorder Soon,OK,Supplier X
2025-01-09,Hospital B,Flour,82,Warning,Reorder Soon,OK,Supplier Y
2025-01-09,Warehouse C,Paracetamol,119,Healthy,No Action Required,OK,Supplier X
2025-01-09,Warehouse C,Amoxicillin,68,Warning,Reorder Soon,OK,Supplier Y
2025-01-09,Warehouse C,Rice,23,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-09,Warehouse C,Flour,105,Healthy,No Action Required,OK,Supplier X
2025-01-10,Hospital A,Paracetamol,44,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-10,Hospital A,Amoxicillin,95,Warning,Reorder Soon,OK,Supplier Y
2025-01-10,Hospital A,Rice,148,Healthy,No Action Required,OK,Supplier X
2025-01-10,Hospital A,Flour,81,Warning,Reorder Soon,OK,Supplier X
2025-01-10,Hospital B,Paracetamol,65,Warning,Reorder Soon,OK,Supplier Y
2025-01-10,Hospital B,Amoxicillin,104,Healthy,No Action Required,OK,Supplier Y
2025-01-10,Hospital B,Rice,87,Warning,Reorder Soon,OK,Supplier Y
2025-01-10,Hospital B,Flour,35,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-10,Warehouse C,Paracetamol,26,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-10,Warehouse C,Amoxicillin,101,Healthy,No Action Required,OK,Supplier Y
2025-01-10,Warehouse C,Rice,98,Warning,Reorder Soon,OK,Supplier X
2025-01-10,Warehouse C,Flour,60,Warning,Reorder Soon,OK,Supplier X
2025-01-11,Hospital A,Paracetamol,73,Warning,Reorder Soon,OK,Supplier Y
2025-01-11,Hospital A,Amoxicillin,50,Warning,Reorder Soon,OK,Supplier Y
2025-01-11,Hospital A,Rice,23,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-11,Hospital A,Flour,24,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-11,Hospital B,Paracetamol,51,Warning,Reorder Soon,OK,Supplier X
2025-01-11,Hospital B,Amoxicillin,30,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-11,Hospital B,Rice,73,Warning,Reorder Soon,OK,Supplier X
2025-01-11,Hospital B,Flour,2,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-11,Warehouse C,Paracetamol,114,Healthy,No Action Required,OK,Supplier Y
2025-01-11,Warehouse C,Amoxicillin,122,Healthy,No Action Required,OK,Supplier X
2025-01-11,Warehouse C,Rice,129,Healthy,No Action Required,OK,Supplier Y
2025-01-11,Warehouse C,Flour,32,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-12,Hospital A,Paracetamol,27,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-12,Hospital A,Amoxicillin,28,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-12,Hospital A,Rice,152,Healthy,No Action Required,OK,Supplier X
2025-01-12,Hospital A,Flour,4,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-12,Hospital B,Paracetamol,101,Healthy,No Action Required,OK,Supplier X
2025-01-12,Hospital B,Amoxicillin,87,Warning,Reorder Soon,OK,Supplier Y
2025-01-12,Hospital B,Rice,184,Healthy,No Action Required,OK,Supplier Y
2025-01-12,Hospital B,Flour,66,Warning,Reorder Soon,OK,Supplier Y
2025-01-12,Warehouse C,Paracetamol,19,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-12,Warehouse C,Amoxicillin,118,Healthy,No Action Required,OK,Supplier X
2025-01-12,Warehouse C,Rice,101,Healthy,No Action Required,OK,Supplier X
2025-01-12,Warehouse C,Flour,118,Healthy,No Action Required,OK,Supplier Y
2025-01-13,Hospital A,Paracetamol,39,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-13,Hospital A,Amoxicillin,97,Warning,Reorder Soon,OK,Supplier Y
2025-01-13,Hospital A,Rice,175,Healthy,No Action Required,OK,Supplier Y
2025-01-13,Hospital A,Flour,152,Healthy,No Action Required,OK,Supplier X
2025-01-13,Hospital B,Paracetamol,18,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-13,Hospital B,Amoxicillin,4,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-13,Hospital B,Rice,194,Healthy,No Action Required,OK,Supplier X
2025-01-13,Hospital B,Flour,15,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-13,Warehouse C,Paracetamol,63,Warning,Reorder Soon,OK,Supplier Y
2025-01-13,Warehouse C,Amoxicillin,60,Warning,Reorder Soon,OK,Supplier X
2025-01-13,Warehouse C,Rice,59,Warning,Reorder Soon,OK,Supplier X
2025-01-13,Warehouse C,Flour,157,Healthy,No Action Required,OK,Supplier X
2025-01-14,Hospital A,Paracetamol,20,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-14,Hospital A,Amoxicillin,17,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-14,Hospital A,Rice,56,Warning,Reorder Soon,OK,Supplier Y
2025-01-14,Hospital A,Flour,138,Healthy,No Action Required,OK,Supplier Y
2025-01-14,Hospital B,Paracetamol,186,Healthy,No Action Required,OK,Supplier X
2025-01-14,Hospital B,Amoxicillin,74,Warning,Reorder Soon,OK,Supplier Y
2025-01-14,Hospital B,Rice,60,Warning,Reorder Soon,OK,Supplier X
2025-01-14,Hospital B,Flour,90,Warning,Reorder Soon,OK,Supplier Y
2025-01-14,Warehouse C,Paracetamol,35,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-14,Warehouse C,Amoxicillin,188,Healthy,No Action Required,OK,Supplier Y
2025-01-14,Warehouse C,Rice,5,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-14,Warehouse C,Flour,117,Healthy,No Action Required,OK,Supplier Y
2025-01-15,Hospital A,Paracetamol,26,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-15,Hospital A,Amoxicillin,59,Warning,Reorder Soon,OK,Supplier Y
2025-01-15,Hospital A,Rice,19,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-15,Hospital A,Flour,29,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-15,Hospital B,Paracetamol,73,Warning,Reorder Soon,OK,Supplier Y
2025-01-15,Hospital B,Amoxicillin,126,Healthy,No Action Required,OK,Supplier Y
2025-01-15,Hospital B,Rice,138,Healthy,No Action Required,OK,Supplier X
2025-01-15,Hospital B,Flour,66,Warning,Reorder Soon,OK,Supplier Y
2025-01-15,Warehouse C,Paracetamol,173,Healthy,No Action Required,OK,Supplier Y
2025-01-15,Warehouse C,Amoxicillin,21,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-15,Warehouse C,Rice,54,Warning,Reorder Soon,OK,Supplier Y
2025-01-15,Warehouse C,Flour,117,Healthy,No Action Required,OK,Supplier Y
2025-01-16,Hospital A,Paracetamol,8,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-16,Hospital A,Amoxicillin,85,Warning,Reorder Soon,OK,Supplier Y
2025-01-16,Hospital A,Rice,119,Healthy,No Action Required,OK,Supplier Y
2025-01-16,Hospital A,Flour,109,Healthy,No Action Required,OK,Supplier X
2025-01-16,Hospital B,Paracetamol,27,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-16,Hospital B,Amoxicillin,125,Healthy,No Action Required,OK,Supplier X
2025-01-16,Hospital B,Rice,35,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-16,Hospital B,Flour,47,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-16,Warehouse C,Paracetamol,109,Healthy,No Action Required,OK,Supplier X
2025-01-16,Warehouse C,Amoxicillin,8,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-16,Warehouse C,Rice,25,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-16,Warehouse C,Flour,33,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-17,Hospital A,Paracetamol,42,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-17,Hospital A,Amoxicillin,23,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-17,Hospital A,Rice,14,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-17,Hospital A,Flour,93,Warning,Reorder Soon,OK,Supplier Y
2025-01-17,Hospital B,Paracetamol,84,Warning,Reorder Soon,OK,Supplier X
2025-01-17,Hospital B,Amoxicillin,78,Warning,Reorder Soon,OK,Supplier Y
2025-01-17,Hospital B,Rice,43,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-17,Hospital B,Flour,14,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-17,Warehouse C,Paracetamol,3,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-17,Warehouse C,Amoxicillin,117,Healthy,No Action Required,OK,Supplier Y
2025-01-17,Warehouse C,Rice,89,Warning,Reorder Soon,OK,Supplier X
2025-01-17,Warehouse C,Flour,120,Healthy,No Action Required,OK,Supplier X
2025-01-18,Hospital A,Paracetamol,117,Healthy,No Action Required,OK,Supplier X
2025-01-18,Hospital A,Amoxicillin,24,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-18,Hospital A,Rice,26,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-18,Hospital A,Flour,46,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-18,Hospital B,Paracetamol,38,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-18,Hospital B,Amoxicillin,138,Healthy,No Action Required,OK,Supplier X
2025-01-18,Hospital B,Rice,10,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-18,Hospital B,Flour,31,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-18,Warehouse C,Paracetamol,35,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-18,Warehouse C,Amoxicillin,26,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-18,Warehouse C,Rice,79,Warning,Reorder Soon,OK,Supplier Y
2025-01-18,Warehouse C,Flour,68,Warning,Reorder Soon,OK,Supplier Y
2025-01-19,Hospital A,Paracetamol,89,Warning,Reorder Soon,OK,Supplier X
2025-01-19,Hospital A,Amoxicillin,12,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-19,Hospital A,Rice,70,Warning,Reorder Soon,OK,Supplier Y
2025-01-19,Hospital A,Flour,74,Warning,Reorder Soon,OK,Supplier X
2025-01-19,Hospital B,Paracetamol,75,Warning,Reorder Soon,OK,Supplier Y
2025-01-19,Hospital B,Amoxicillin,98,Warning,Reorder Soon,OK,Supplier Y
2025-01-19,Hospital B,Rice,21,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-19,Hospital B,Flour,109,Healthy,No Action Required,OK,Supplier X
2025-01-19,Warehouse C,Paracetamol,55,Warning,Reorder Soon,OK,Supplier Y
2025-01-19,Warehouse C,Amoxicillin,130,Healthy,No Action Required,OK,Supplier X
2025-01-19,Warehouse C,Rice,86,Warning,Reorder Soon,OK,Supplier X
2025-01-19,Warehouse C,Flour,44,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-20,Hospital A,Paracetamol,158,Healthy,No Action Required,OK,Supplier Y
2025-01-20,Hospital A,Amoxicillin,114,Healthy,No Action Required,OK,Supplier X
2025-01-20,Hospital A,Rice,154,Healthy,No Action Required,OK,Supplier Y
2025-01-20,Hospital A,Flour,121,Healthy,No Action Required,OK,Supplier Y
2025-01-20,Hospital B,Paracetamol,80,Warning,Reorder Soon,OK,Supplier X
2025-01-20,Hospital B,Amoxicillin,67,Warning,Reorder Soon,OK,Supplier X
2025-01-20,Hospital B,Rice,81,Warning,Reorder Soon,OK,Supplier X
2025-01-20,Hospital B,Flour,67,Warning,Reorder Soon,OK,Supplier X
2025-01-20,Warehouse C,Paracetamol,92,Warning,Reorder Soon,OK,Supplier X
2025-01-20,Warehouse C,Amoxicillin,51,Warning,Reorder Soon,OK,Supplier Y
2025-01-20,Warehouse C,Rice,38,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-20,Warehouse C,Flour,159,Healthy,No Action Required,OK,Supplier Y
2025-01-21,Hospital A,Paracetamol,104,Healthy,No Action Required,OK,Supplier X
2025-01-21,Hospital A,Amoxicillin,82,Warning,Reorder Soon,OK,Supplier Y
2025-01-21,Hospital A,Rice,160,Healthy,No Action Required,OK,Supplier X
2025-01-21,Hospital A,Flour,12,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-21,Hospital B,Paracetamol,176,Healthy,No Action Required,OK,Supplier Y
2025-01-21,Hospital B,Amoxicillin,83,Warning,Reorder Soon,OK,Supplier Y
2025-01-21,Hospital B,Rice,58,Warning,Reorder Soon,OK,Supplier Y
2025-01-21,Hospital B,Flour,88,Warning,Reorder Soon,OK,Supplier X
2025-01-21,Warehouse C,Paracetamol,81,Warning,Reorder Soon,OK,Supplier X
2025-01-21,Warehouse C,Amoxicillin,29,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-21,Warehouse C,Rice,123,Healthy,No Action Required,OK,Supplier Y
2025-01-21,Warehouse C,Flour,28,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-22,Hospital A,Paracetamol,129,Healthy,No Action Required,OK,Supplier Y
2025-01-22,Hospital A,Amoxicillin,146,Healthy,No Action Required,OK,Supplier X
2025-01-22,Hospital A,Rice,46,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-22,Hospital A,Flour,26,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-22,Hospital B,Paracetamol,67,Warning,Reorder Soon,OK,Supplier Y
2025-01-22,Hospital B,Amoxicillin,26,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-22,Hospital B,Rice,21,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-22,Hospital B,Flour,140,Healthy,No Action Required,OK,Supplier X
2025-01-22,Warehouse C,Paracetamol,175,Healthy,No Action Required,OK,Supplier Y
2025-01-22,Warehouse C,Amoxicillin,181,Healthy,No Action Required,OK,Supplier Y
2025-01-22,Warehouse C,Rice,81,Warning,Reorder Soon,OK,Supplier X
2025-01-22,Warehouse C,Flour,4,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-23,Hospital A,Paracetamol,138,Healthy,No Action Required,OK,Supplier X
2025-01-23,Hospital A,Amoxicillin,75,Warning,Reorder Soon,OK,Supplier Y
2025-01-23,Hospital A,Rice,68,Warning,Reorder Soon,OK,Supplier X
2025-01-23,Hospital A,Flour,45,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-23,Hospital B,Paracetamol,67,Warning,Reorder Soon,OK,Supplier Y
2025-01-23,Hospital B,Amoxicillin,115,Healthy,No Action Required,OK,Supplier Y
2025-01-23,Hospital B,Rice,86,Warning,Reorder Soon,OK,Supplier X
2025-01-23,Hospital B,Flour,35,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-23,Warehouse C,Paracetamol,3,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-23,Warehouse C,Amoxicillin,12,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-23,Warehouse C,Rice,25,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-23,Warehouse C,Flour,82,Warning,Reorder Soon,OK,Supplier Y
2025-01-24,Hospital A,Paracetamol,82,Warning,Reorder Soon,OK,Supplier Y
2025-01-24,Hospital A,Amoxicillin,8,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-24,Hospital A,Rice,112,Healthy,No Action Required,OK,Supplier Y
2025-01-24,Hospital A,Flour,92,Warning,Reorder Soon,OK,Supplier Y
2025-01-24,Hospital B,Paracetamol,12,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-24,Hospital B,Amoxicillin,89,Warning,Reorder Soon,OK,Supplier X
2025-01-24,Hospital B,Rice,104,Healthy,No Action Required,OK,Supplier X
2025-01-24,Hospital B,Flour,51,Warning,Reorder Soon,OK,Supplier Y
2025-01-24,Warehouse C,Paracetamol,69,Warning,Reorder Soon,OK,Supplier Y
2025-01-24,Warehouse C,Amoxicillin,152,Healthy,No Action Required,OK,Supplier X
2025-01-24,Warehouse C,Rice,68,Warning,Reorder Soon,OK,Supplier Y
2025-01-24,Warehouse C,Flour,20,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-25,Hospital A,Paracetamol,75,Warning,Reorder Soon,OK,Supplier X
2025-01-25,Hospital A,Amoxicillin,21,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-25,Hospital A,Rice,37,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-25,Hospital A,Flour,108,Healthy,No Action Required,OK,Supplier X
2025-01-25,Hospital B,Paracetamol,77,Warning,Reorder Soon,OK,Supplier X
2025-01-25,Hospital B,Amoxicillin,134,Healthy,No Action Required,OK,Supplier X
2025-01-25,Hospital B,Rice,5,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-25,Hospital B,Flour,1,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-25,Warehouse C,Paracetamol,55,Warning,Reorder Soon,OK,Supplier X
2025-01-25,Warehouse C,Amoxicillin,79,Warning,Reorder Soon,OK,Supplier X
2025-01-25,Warehouse C,Rice,102,Healthy,No Action Required,OK,Supplier Y
2025-01-25,Warehouse C,Flour,30,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-26,Hospital A,Paracetamol,33,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-26,Hospital A,Amoxicillin,53,Warning,Reorder Soon,OK,Supplier X
2025-01-26,Hospital A,Rice,28,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-26,Hospital A,Flour,180,Healthy,No Action Required,OK,Supplier X
2025-01-26,Hospital B,Paracetamol,14,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-26,Hospital B,Amoxicillin,27,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-26,Hospital B,Rice,72,Warning,Reorder Soon,OK,Supplier Y
2025-01-26,Hospital B,Flour,103,Healthy,No Action Required,OK,Supplier Y
2025-01-26,Warehouse C,Paracetamol,52,Warning,Reorder Soon,OK,Supplier Y
2025-01-26,Warehouse C,Amoxicillin,4,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
